Venue,OG Team,OO Team,CG Team,CO Team
SL330,TCD Hist B,UChicago C,UCT A,GUU B
,,,,
,,,,
,,,,
SL332,TDS A,FDU A,Tec CEM A,UCT B
,,,,
SL336,Yale C,HKUST EDT B,Hit-u A,DRUMS B
,,,,
,,,,
SL361,Cornell A,Harvard A,UQDS B,NTU A
,,,,
,,,,
,,,,
SL375,ZUD A,Brandeis A,HWS B,Alaska B
,,,,
,,,,
SL376,Hart House B,UoG A,SUFE B,Point Loma A
,,,,
,,,,
,,,,
SL381,MDU A,Warwick A,Warsaw A,Belgrade A
,,,,
,,,,
SL386,LEIDEN D,Amherst B,BUET A,Hopkins A
,,,,
,,,,
,,,,
SL390,McGill D,NEU B,Duke B,Waseda A
,,,,
,,,,
SL392,U.LISBON A,Singidunum A,Nazarbayev B,IBA DU B
,,,,
,,,,
SL396,Tokyo A,Bates C,Swarthmore B,Oxford D
,,,,
,,,,
,,,,
SL427,GSU A,Stockholm A,UBC A,WSDU A
,,,,
,,,,
SL428,MAD A,Yale D,ANU A,Otago A
,,,,
,,,,
,,,,
SL429,Aalto A,Team 400,Krakow A,SIM A
,,,,
,,,,
SL430,Belgrade B,USU F,Oxford A,USU B
,,,,
,,,,
,,,,
SL431,KHDS A,TKC A,DEREE A,CardiffUni A
,,,,
,,,,
SL432,UFS A,Princeton A,PEP A,CDS B
,,,,
,,,,
,,,,
SL434,BBU B,GUU A,UT Sydney A,BGU A
,,,,
,,,,
,,,,
SL436,Tec CEM C,UFV A,Rosario B,LLA A
,,,,
,,,,
SL454,SKT B,UWI MONA B,GODS A,GSU B
,,,,
,,,,
SL483,Hit-u B,WCM B,OCAD A,Inner A
,,,,
,,,,
SL485,PCU A,Keio B,Kyoto A,Aberdeen A
,,,,
,,,,
SL488,UChicago A,HKU A,BRIS A,Taylor's A
,,,,
,,,,
SL530,Duke A,Middlebury A,TCD Phil A,NUS A
,,,,
,,,,
,,,,
SL532,UoN A,MDS B,MEDUNSA A,MQU B
,,,,
,,,,
,,,,
SL556,Cambridge A,USU D,CDS A,Belgrade C
,,,,
,,,,
,,,,
SL558,RRIS B,GWU B,TUCN A,WSDU B
,,,,
,,,,
SL562,UTECH B,MSU BD A,FDU B,Berlin B
,,,,
,,,,
SL576,UoB A,MAD C,Team 399,TDS B
,,,,
,,,,
SL2831,EDS UGM A,VUW A,Berlin A,UNSW B
