is_esl,is_efl,is_esl_or_efl,ENL,ESL,EFL,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
0,0,0,22,,,Emma Johnstone,USU A,19,739,82.1,78,83,83,82,83,83,79,84,84
0,0,0,23,,,Kez Exley,Durham A,20,738,82,87,83,81,82,80,84,79,80,82
0,0,0,24,,,Henry Zhang,Yale A,20,735,81.7,82,84,83,82,80,81,79,82,82
0,0,0,25,,,George Clay,Cambridge B,20,734,81.6,79,80,81,83,79,81,85,83,83
0,0,0,25,,,Owen Mooney,GUU A,20,734,81.6,80,82,78,81,81,83,83,84,82
0,0,0,25,,,Katherine Dunbar,Cambridge D,18,734,81.6,79,85,84,80,82,82,82,82,78
0,0,0,28,,,Kit Mercer,Cambridge A,21,733,81.4,80,79,85,82,81,81,81,79,85
1,0,1,28,1,,Ameera Natasha Moore,IIUM A,19,733,81.4,77,80,84,78,82,84,84,80,84
0,0,0,28,,,Tim Asimakis,USU B,20,733,81.4,83,84,80,79,82,80,84,81,80
1,0,1,31,2,,Sara Abdul Rahim,IIUM B,19,732,81.3,77,81,78,80,84,84,84,83,81
0,0,0,31,,,Zoe Seaman-Grant,Bates A,19,732,81.3,83,80,81,78,83,85,78,81,83
1,0,1,33,3,,Mubarrat Wassey,IIUM A,19,731,81.2,78,77,84,78,83,84,83,80,84
0,0,0,34,,,Andrew Elder,MAD A,18,730,81.1,80,81,81,81,79,83,82,83,80
0,0,0,34,,,Aodhan Peelo,UCD LawSoc A,19,730,81.1,81,78,78,81,83,82,81,83,83
0,0,0,34,,,Bethany Garry,GUU A,20,730,81.1,82,78,77,80,81,83,83,82,84
0,0,0,37,,,Matt Davis,Bates A,19,729,81,81,80,79,78,83,84,79,82,83
0,0,0,37,,,James Stratton,USU C,19,729,81,77,79,78,84,80,84,80,83,84
0,0,0,37,,,Stephanie White,USU D,18,729,81,84,83,79,79,82,80,79,82,81
0,0,0,37,,,Etsuko Lim,Cambridge B,20,729,81,79,79,81,81,79,81,84,83,82
0,0,0,37,,,Matt Hazell,Cambridge D,18,729,81,80,85,83,79,82,82,80,80,78
1,0,1,42,4,,Dan Lahav,Tel Aviv A,20,728,80.9,78,80,74,80,81,85,85,80,85
0,0,0,42,,,David Slater,Stanford B,17,728,80.9,78,76,81,84,80,81,83,83,82
0,0,0,42,,,Michael Rees,USU E,18,728,80.9,80,77,81,82,79,83,84,84,78
0,0,0,45,,,Isha Jain,NLSIU A,17,727,80.8,78,83,83,80,79,81,82,83,78
0,0,0,45,,,Emma Boogeardt,UWADU A,19,727,80.8,79,77,79,81,83,82,84,83,79
0,0,0,45,,,Marina Tan,Yale D,17,727,80.8,78,81,80,84,79,77,80,86,82
0,0,0,45,,,Daniel Kirkby,UWADU A,19,727,80.8,78,80,78,79,83,80,85,83,81
0,0,0,49,,,Vanshaj Jain,NLSIU A,17,726,80.7,78,81,84,80,79,82,80,84,78
0,0,0,50,,,Zhen Huang,Yale B,18,725,80.6,81,76,79,83,80,78,84,84,80
0,0,0,50,,,Nicholas Salmon,UQDS C,19,725,80.6,78,79,79,82,80,82,77,86,82
0,0,0,50,,,Sadie MacDonald,UQDS B,18,725,80.6,81,80,83,80,77,78,84,85,77
0,0,0,50,,,Lucy Lester,USU F,18,725,80.6,79,78,78,83,79,75,84,83,86
0,0,0,50,,,Thomas Goldie,ANU A,17,725,80.6,78,81,77,79,84,82,80,81,83
